t (s),V (mV)
0,18.6468
0.999,18.601
2,18.5569
3,18.5136
4,18.4681
5,18.4231
6,18.3778
7,18.3344
7.999,18.2957
9,18.2517
10,18.2076
11,18.1657
11.999,18.1237
13,18.081
14,18.0349
14.999,17.994
15.999,17.95
17,17.9089
18,17.8655
18.999,17.8244
19.999,17.7819
21,17.7398
22,17.6962
22.999,17.6552
23.999,17.6125
25,17.5706
25.999,17.5295
27,17.4883
28,17.4457
29,17.4039
29.999,17.3614
31,17.3206
32,17.2808
33,17.2391
33.999,17.1973
35,17.1561
36,17.1157
36.999,17.0762
38,17.0349
39,16.9949
40,16.9542
41,16.9143
42,16.8742
42.999,16.8337
43.999,16.794
44.999,16.7529
45.999,16.714
47,16.6755
48,16.6364
49,16.595
49.999,16.5569
51,16.5173
52,16.4772
53,16.4385
53.999,16.3993
54.999,16.3598
56,16.3213
57,16.2823
58,16.2442
59,16.2053
59.999,16.167
61,16.1285
62,16.0906
63,16.0529
64,16.0151
64.999,15.9767
66,15.9387
66.999,15.9007
68,15.8638
69,15.8262
70,15.789
70.999,15.7511
72,15.7148
73,15.6779
74,15.6411
74.999,15.6042
76,15.567
76.999,15.5312
77.999,15.4945
79,15.4579
80,15.4218
81,15.3833
82,15.3492
82.999,15.3145
84,15.279
85,15.2415
86,15.2066
87,15.1707
88,15.1347
89,15.0986
89.999,15.0654
90.999,15.03
92,14.9942
92.999,14.9591
94,14.9233
95,14.8865
96,14.8537
97,14.8173
98,14.7822
99,14.7458
99.999,14.7117
101,14.6766
102,14.6414
103,14.6068
104,14.5706
104.999,14.5378
105.999,14.5028
107,14.4675
108,14.4319
109,14.3971
110,14.362
111,14.3285
112,14.2937
113,14.2604
113.999,14.2261
115,14.1928
116,14.1592
117,14.1261
117.999,14.0918
119,14.059
119.999,14.025
121,13.9912
121.999,13.9584
123,13.9251
124,13.8936
125,13.8607
126,13.8283
127,13.7953
127.999,13.7615
128.999,13.7287
130,13.6987
131,13.6667
132,13.6362
132.999,13.602
133.999,13.5707
135,13.5414
136,13.5099
136.999,13.4773
138,13.4469
139,13.4155
140,13.3841
141,13.3512
142,13.3207
143,13.2885
143.999,13.2574
145,13.2261
146,13.1935
146.999,13.1628
148,13.1324
149,13.1
149.999,13.0689
151,13.0378
152,13.0062
153,12.9765
154,12.9453
155,12.915
156,12.884
157,12.8516
158,12.8226
159,12.7924
160,12.7625
161,12.7314
162,12.7011
163,12.6709
164,12.6414
165,12.612
166,12.5806
167,12.5514
167.999,12.5208
169,12.489
170,12.4615
170.999,12.4328
172,12.4008
173,12.3713
174,12.3431
175,12.3149
176,12.285
177,12.2555
178,12.2265
178.999,12.1997
180,12.17
181,12.1436
182,12.1123
183,12.0838
184,12.0533
185,12.0279
186,12.0001
186.999,11.9717
187.999,11.943
189,11.913
190,11.8853
190.999,11.859
191.999,11.8309
193,11.8007
193.999,11.7747
195,11.7456
196,11.7172
197,11.6896
197.999,11.6606
199,11.6334
200,11.6072
201,11.5796
202,11.5515
203,11.5235
204,11.4961
205,11.4689
206,11.4411
207,11.4139
208,11.3869
209,11.3604
210,11.3335
211,11.3056
212,11.2788
212.999,11.2513
214,11.2258
215,11.1992
216,11.1735
217,11.1464
218,11.1205
219,11.0937
220,11.0674
221,11.0416
222,11.0152
223,10.9885
224,10.9626
225,10.938
226,10.9117
227,10.8866
228,10.8599
229,10.8341
229.999,10.8106
231,10.7845
232,10.7586
233,10.7337
234,10.7082
235,10.6839
236,10.6594
237,10.6343
237.999,10.6109
239,10.5848
239.999,10.5612
240.999,10.536
241.999,10.5113
242.998,10.4865
243.999,10.461
244.999,10.4372
245.999,10.4125
246.999,10.3864
247.999,10.3615
248.999,10.338
249.999,10.3125
250.999,10.2875
251.999,10.2636
252.999,10.2395
253.999,10.2134
254.999,10.1894
255.999,10.1649
256.999,10.1403
257.999,10.1159
258.998,10.0883
259.999,10.0654
260.999,10.0398
261.998,10.0148
262.999,9.9895
264,9.966
265,9.9424
265.999,9.918
267,9.8947
268,9.8715
269,9.8482
270,9.8235
271,9.8004
272,9.7782
273,9.7546
273.999,9.7316
275,9.7079
276,9.6848
277,9.6613
278,9.6384
279,9.6155
280,9.5932
